,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,datenbankart,start_con,stop_con,ENCOUNTER,code_con,desc_con,start_med,stop_med,PAYER,code_med,desc_med,BASE_COST,PAYER_COVERAGE,DISPENSES,TOTALCOST,reasoncode_med,reasondesc_med,id_enc,start_enc,stop_enc,ORGANIZATION,PROVIDER,ENCOUNTERCLASS,code_enc,desc_enc,BASE_ENCOUNTER_COST,TOTAL_CLAIM_COST,reasoncode_enc,reasondesc_enc,AGE
0,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,22298006,Myocardial Infarction,2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,228.97,0.0,1,228.97,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
1,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,22298006,Myocardial Infarction,2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,259255,Atorvastatin 80 MG Oral Tablet,428.01,0.0,1,428.01,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
2,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,22298006,Myocardial Infarction,2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,833036,Captopril 25 MG Oral Tablet,129.92,0.0,1,129.92,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
3,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,22298006,Myocardial Infarction,2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,309362,Clopidogrel 75 MG Oral Tablet,108.52,0.0,1,108.52,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
4,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,399211009,History of myocardial infarction (situation),2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,228.97,0.0,1,228.97,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
5,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,399211009,History of myocardial infarction (situation),2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,259255,Atorvastatin 80 MG Oral Tablet,428.01,0.0,1,428.01,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
6,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,399211009,History of myocardial infarction (situation),2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,833036,Captopril 25 MG Oral Tablet,129.92,0.0,1,129.92,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
7,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,2004-07-08,,2488c524-521e-dbf0-9175-c62de3c2a4c8,399211009,History of myocardial infarction (situation),2004-07-08T16:40:20Z,2004-07-08T16:55:20Z,d47b3510-2895-3b70-9897-342d681c769d,309362,Clopidogrel 75 MG Oral Tablet,108.52,0.0,1,108.52,,,28fb2224-a226-a163-e82c-7d6ef928a7d9,2004-07-15T16:40:20Z,2004-07-15T16:55:20Z,bdea333f-75aa-3da6-bb15-c02294f7775e,7d92a784-8056-308f-bb0f-07f59a5fb907,wellness,308646001,Death Certification,129.16,129.16,22298006.0,Myocardial Infarction,35
8,581f9c2d-9cc0-8886-0996-fbc0daad610f,1920-12-09 00:00:00.000000,2010-01-07 00:00:00.000000,999-85-6858,S99928292,X26831082X,Mrs.,Charleen536,Lindgren255,,Hansen121,M,white,nonhispanic,F,Springfield  Massachusetts  US,779 Harris Bridge,Walpole,Massachusetts,Norfolk County,,42.14970508597327,-71.26074035560357,80273.8,9003.830000000002,asthma,1998-05-14,,cb31cbc9-b347-b2f6-8adc-b3373d7a9bb5,53741008,Coronary Heart Disease,1998-05-14T19:49:11Z,,7caa7254-5050-3b5e-9eae-bd5ea30e809c,312961,Simvastatin 20 MG Oral Tablet,15.6,0.0,142,2215.2,,,cf79ddcf-0fec-32d4-bd60-11366c96bcc4,2010-01-14T19:49:11Z,2010-01-14T20:04:11Z,20169b35-8e4c-3124-a736-8e5da9c1000a,a5e9eb0c-7d3f-3177-8b98-67369e47a5a5,wellness,308646001,Death Certification,129.16,129.16,230690007.0,Stroke,90
9,581f9c2d-9cc0-8886-0996-fbc0daad610f,1920-12-09 00:00:00.000000,2010-01-07 00:00:00.000000,999-85-6858,S99928292,X26831082X,Mrs.,Charleen536,Lindgren255,,Hansen121,M,white,nonhispanic,F,Springfield  Massachusetts  US,779 Harris Bridge,Walpole,Massachusetts,Norfolk County,,42.14970508597327,-71.26074035560357,80273.8,9003.830000000002,asthma,1998-05-14,,cb31cbc9-b347-b2f6-8adc-b3373d7a9bb5,53741008,Coronary Heart Disease,1998-05-14T19:49:11Z,,7caa7254-5050-3b5e-9eae-bd5ea30e809c,197361,Amlodipine 5 MG Oral Tablet,14.98,0.0,142,2127.16,,,cf79ddcf-0fec-32d4-bd60-11366c96bcc4,2010-01-14T19:49:11Z,2010-01-14T20:04:11Z,20169b35-8e4c-3124-a736-8e5da9c1000a,a5e9eb0c-7d3f-3177-8b98-67369e47a5a5,wellness,308646001,Death Certification,129.16,129.16,230690007.0,Stroke,90
